"element_id"	"iwa_id"	"dwa_id"	"dwa_title"	"dwa_title_nb"	"changed"
"4.A.1.a.1"	"4.A.1.a.1.I01"	"4.A.1.a.1.I01.D01"	"Review art or design materials."	"Gjennomgår kunst- eller designmaterialer"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I01"	"4.A.1.a.1.I01.D02"	"Study details of musical compositions."	"Studerer detaljer i musikkomposisjoner"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I01"	"4.A.1.a.1.I01.D03"	"Review production information to determine costume or makeup requirements."	"Gjennomgår produktinformasjon for å fastsette krav til kostymer eller sminke"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I01"	"4.A.1.a.1.I01.D04"	"Study scripts to determine project requirements."	"Studerer manuskripter for å fastsette prosjektkrav"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D01"	"Read materials to determine needed actions."	"Leser materiale for å bestemme nødvendige tiltak"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D02"	"Read maps to determine routes."	"Leser kart for å bestemme ruter"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D03"	"Review customer information."	"Gjennomgår kundeinformasjon"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D04"	"Read work orders or other instructions to determine product specifications or materials requirements."	"Leser arbeidsinstrukser eller andre instrukser for å fastsette produktspesifikasjoner eller materialkrav"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D05"	"Read technical information needed to perform maintenance or repairs."	"Leser teknisk informasjon som er nødvendig for å utføre vedlikehold eller reparasjoner"	"2017-05-26"
"4.A.1.a.1"	"4.A.1.a.1.I02"	"4.A.1.a.1.I02.D06"	"Study blueprints or other instructions to determine equipment setup requirements."	"Studerer plantegninger eller andre instrukser for å fastsette krav til utstyrskonfigurasjon"	"2017-05-26"
