onetsoc_code	title	title_nb	description	description_nb	changed
"11-1011.00"	"Chief Executives"	"Administrerende direktør"	"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."	"Fastsetter og utformer retningslinjer og sørger for samlet styring av selskaper eller virksomheter i privat eller offentlig sektor innen rammer satt av et bedriftsstyre eller tilsvarende styringsorgan. Planlegger, styrer eller samordner driften på øverste ledelsesnivå ved hjelp av mellomledere og stabssjefer."	"2017-05-26"
"11-1011.03"	"Chief Sustainability Officers"	"Bærekraftsansvarlig"	"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy."	"Kommuniserer og samordner med ledelse, aksjonærer, kunder og ansatte for å ta tak i bærekraftsrelaterte spørsmål. Vedtar eller fører tilsyn med en bedrifts bærekraftstrategi."	"2017-05-26"
"11-1021.00"	"General and Operations Managers"	"Daglig leder og virksomhetsleder"	"Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services."	"Planlegger, styrer eller samordner driften i organisasjoner i privat eller offentlig sektor. Plikter og ansvar inkluderer å utformer retningslinjer, sørge for daglig drift og planlegge bruken av materielle og menneskelige ressurser, men disse er for varierte og generelle til å kunne klassifiseres i noe bestemt område av ledelsen eller administrasjonen, som f.eks. HR, innkjøp eller servicetjenester."	"2017-05-26"
"11-1031.00"	"Legislators"	"Lovgiver"	"Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level. Includes only workers in elected positions."	"Utvikler, innfører eller vedtar lover og vedtekter lokalt, kommunalt, fylkeskommunalt eller nasjonalt nivå. Omfatter bare arbeidere i folkevalgte stillinger."	"2017-05-26"
"11-2011.00"	"Advertising and Promotions Managers"	"Markedsførings- og promoteringsansvarlig"	"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."	"Planlegger, styrer eller samordner markedsføringsstrategier og -prosjekter eller lager profileringsmateriale som f.eks. plakater, konkurranser, rabattkuponger eller vareprøver for å skape mer interesse for kjøp av produkter eller tjenester for en avdeling, et helt selskap eller på kundenivå."	"2017-05-26"
"11-2021.00"	"Marketing Managers"	"Markedsføringsleder"	"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services."	"Planlegger, styrer eller samordner markedsføringsstrategier og -prosjekter, som f.eks. å beregne etterspørsel etter varer og tjenester som er tilbudt av et selskap og dets konkurrenter, og identifisere potensielle kunder. Utvikler strategier for prissetting med mål om å maksimere firmaets profitt eller markedsandel og sikrer samtidig at firmaets kunder er fornøyde. Fører oppsyn med produktutvikling eller følger med på trender som viser behov for nye produkter og tjenester."	"2017-05-26"
"11-2022.00"	"Sales Managers"	"Salgsleder"	"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers."	"Planlegger, styrer eller samordner den konkrete distribusjonen eller overføringen av varer og tjenester til kunden. Samordner salgsdistribusjonen ved å opprette salgsområder, -kvoter og -mål å opprette opplæringsprogram for selgere. Analyserer salgsstatistikk ansatte har samlet, for å beregne salgspotensial og behov for inventar, og følge med på hva kundene foretrekker."	"2017-05-26"
"11-2032.00"	"Public Relations Managers"	"PR-ledere"	"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client."		"2022-04-25"
"11-2033.00"	"Fundraising Managers"	"Pengeinnsamlingsleder"	"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations."		"2022-04-25"
"11-3012.00"	"Administrative Services Managers"	"Administrativ tjenesteleder"	"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services."		"2022-04-25"
"11-3013.00"	"Facilities Managers"	"Byggforvalter"	"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus."		"2022-04-25"
"11-3013.01"	"Security Managers"	"Sikkerhetsansvarlig"	"Direct an organization's security functions, including physical security and safety of employees and facilities."		"2022-04-25"
"11-3021.00"	"Computer and Information Systems Managers"	"Leder for data- og informasjonssystemer"	"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming."	"Planlegger, styrer eller samordner aktivitet på områder som elektronisk databehandling, informasjonssystemer, systemanalyse og dataprogrammering."	"2017-05-26"
"11-3031.00"	"Financial Managers"	"Økonomisjef"	"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment."	"Planlegger, styrer eller samordner regnskap, investering, banktjenester, forsikring, verdipapirer og annen økonomisk aktivitet i en avdeling, et kontor eller en underavdeling av en virksomhet."	"2017-05-26"
"11-3031.01"	"Treasurers and Controllers"	"Kasserer og revisor"	"Direct financial activities, such as planning, procurement, and investments for all or part of an organization."	"Leder økonomisk aktivitet, som f.eks. planlegging, anskaffelser og investeringer for hele eller deler av en virksomhet."	"2017-05-26"
